FEATURE1,FEATURE2,FEATURE3
!F12,!F15,F5
F14,!F6,!F8
F14,F1,!F3
F13,F8,!F9
!F12,F3,F8
!F10,!F14,!F2
F13,!F7,!F8
!F12,F11,!F6
F12,!F0,F1
!F12,F16,F7
F16,!F1,!F4
F15,!F6,F9
!F10,!F0,F9
!F10,F16,F3
!F3,F8,F9
!F2,F5,!F6
F11,!F14,F4
!F14,!F4,!F9
F12,F14,!F15
!F10,!F12,F4
F0,!F15,F9
!F15,!F2,!F9
F12,F16,!F15
F12,F16,!F9
!F14,F1,!F8
F14,F16,!F15
F1,F3,!F7
F13,F15,!F8
F12,F3,F5
F14,F5,!F6
!F10,!F4,!F7
!F14,F16,!F9
F13,F1,!F9
!F12,F5,F6
!F10,F16,!F0
F13,!F2,F8
!F13,F16,F6
F2,F4,!F6
F13,!F0,F8
!F13,!F2,F8
!F14,F13,F9
!F12,F14,!F7
!F6,!F7,!F9
F13,!F3,F8
F12,F2,!F9
F10,F14,F4
F11,!F14,F3
F1,F4,!F6
!F12,F5,!F9
F0,!F3,F9
