FEATURE1,FEATURE2,FEATURE3
F10,F2,F19
F15,F3,!F8
!F11,F13,!F17
F15,!F3,!F7
F20,F19,F9
F12,!F11,F1
!F11,!F18,F4
F0,F2,!F3
F14,F15,F4
F10,!F7,F8
F18,!F3,F7
!F3,F5,F9
!F13,!F17,F5
!F17,!F3,F6
!F11,!F3,F9
!F13,F3,F4
F10,F11,F18
F2,F19,F6
!F3,F19,F8
F0,F2,F17
!F13,!F2,!F7
F10,F2,F17
!F3,!F6,!F7
F14,F0,F9
F15,!F3,F5
F14,F13,F2
F15,!F7,F8
!F13,F2,F6
!F12,F0,!F3
!F13,F16,F4
!F13,F0,!F7
F2,F18,F5
F13,F8,F9
F15,F18,F19
F10,F14,!F7
!F12,!F3,F6
F12,!F17,F5
!F12,!F13,F1
F20,F16,!F8
F0,!F18,F8
F10,!F13,F1
F0,F19,F7
F19,F6,!F8
F11,!F13,F3
!F1,F4,F5
F16,F2,!F3
!F17,F6,!F7
F20,F16,F5
F14,F16,!F3
!F17,F6,F9
