FEATURE1,FEATURE2,FEATURE3
F12,!F14,F1
F12,!F14,F2
F14,!F6,!F9
F10,!F1,F5
F2,!F6,F9
F10,!F12,!F14
!F14,F13,F3
F10,F5,!F6
F13,F4,!F6
!F12,!F1,F5
F10,F4,!F8
F14,F4,!F9
F10,F12,F4
F11,F2,F9
F2,F4,F8
!F1,!F6,!F9
!F11,!F6,!F9
!F3,!F6,!F9
F6,F7,F8
F10,F12,F5
F10,F1,!F6
F14,!F1,!F3
F0,!F1,F5
F1,F2,F5
F12,F11,F3
!F11,!F8,F9
F4,F7,F9
!F3,F4,!F8
!F12,!F1,F2
F1,F5,F9
F13,F3,F8
!F1,F2,!F8
F12,F14,F0
F0,F4,F6
F14,F5,!F6
F10,F11,F3
F11,F2,F3
F14,F13,F2
F12,F0,F6
F10,F0,F1
!F11,F4,F7
F10,!F11,!F1
F11,F0,F8
!F11,F3,!F9
F13,F2,!F6
!F14,F2,F9
!F12,F2,F5
F14,F3,F9
F10,F1,F2
F10,F4,F8
