FEATURE1,FEATURE2,FEATURE3,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
F6,!F1,F4,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
F7,!F1,F3,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N
F9,!F1,F2,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N
F6,!F1,F5,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N
F8,!F1,F3,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
F7,!F1,F4,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N
F7,!F1,F5,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y
F8,!F1,F4,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
F9,!F1,F3,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N
F6,F7,!F1,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N
F8,!F1,F5,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y
F9,!F1,F4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
F0,F1,!F3,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N
F0,F1,!F4,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
F0,F2,!F3,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y
F1,F2,!F3,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
F0,F2,!F4,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,Y
F1,F2,!F4,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
F6,F0,!F3,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N
!F8,F0,F1,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
!F9,F0,F1,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N
F6,F1,!F3,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
F6,F0,!F4,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
!F8,F0,F2,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N
F6,F2,!F3,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
!F8,F1,F2,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
F6,F1,!F4,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
!F9,F0,F2,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y
!F9,F1,F2,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
F6,F2,!F4,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
F0,!F3,!F4,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y
F1,!F3,!F4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
F6,!F8,F0,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N
F2,!F3,!F4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y
F6,!F9,F0,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N
F6,!F8,F1,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N
F6,!F8,F2,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N
F6,!F9,F1,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
F6,!F9,F2,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
!F8,F0,!F3,N,N,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
!F9,F0,!F3,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y
!F8,F0,!F4,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N
!F8,F1,!F3,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
!F8,F2,!F3,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
!F9,F0,!F4,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y
F6,!F3,!F4,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N
