FEATURE1,FEATURE2,S0,S1,S2,S3,S4,S5,S6,S7
!F6,F8,Y,Y,N,N,N,N,Y,Y
!F6,F9,N,Y,N,N,N,N,N,Y
F11,!F5,N,N,N,Y,N,Y,N,Y
F7,F0,N,Y,N,N,N,Y,N,Y
F8,F0,N,Y,N,N,N,Y,N,Y
F9,F0,N,Y,N,N,N,Y,N,Y
F0,!F5,N,N,N,N,N,Y,N,Y
F6,!F9,N,N,Y,N,Y,N,N,N
F6,F0,N,N,N,N,N,Y,N,N
F8,!F9,Y,N,Y,N,Y,N,Y,N
F6,!F11,N,N,N,N,Y,N,N,N
F10,!F11,Y,N,N,N,Y,N,Y,N
F8,!F11,Y,N,N,N,Y,N,Y,N
F10,!F5,Y,N,N,Y,N,Y,Y,Y
F7,!F11,Y,N,N,N,Y,N,Y,N
