QN,QFigureFile,QHeader,QText,QRecordStart,QRecordEnd,QRecordElapsed,QRecordAnswer,QType,QAnswers,QRightAnswer
1,./src/experiment-figures/model-i1-i1-1.jpg,Warm up Question 1,Is X-Y-Z a valid PARTIAL configuration?,true,true,true,true,radio,Yes ; No; I cannot answer,Yes
2,./src/experiment-figures/model-i1-i1-2.jpg,Warm up Question 2,Is B-G-H a valid PARTIAL configuration?,true,true,true,true,radio,Yes ; No; I cannot answer,No
